role;championId;win;allies;enemies
BOTTOM;67;1;10,233,103,350;31,30,38,15,40
SUPPORT;350;1;10,233,103,67;31,30,38,15,40
TOP;31;0;30,38,15,40;10,233,103,67,350
JUNGLE;30;0;31,38,15,40;10,233,103,67,350
MIDDLE;38;0;31,30,15,40;10,233,103,67,350
BOTTOM;15;0;31,30,38,40;10,233,103,67,350
SUPPORT;40;0;31,30,38,15;10,233,103,67,350
TOP;67;0;98,202,145,902;39,131,157,222,37
JUNGLE;98;0;67,202,145,902;39,131,157,222,37
MIDDLE;202;0;67,98,145,902;39,131,157,222,37
BOTTOM;145;0;67,98,202,902;39,131,157,222,37
SUPPORT;902;0;67,98,202,145;39,131,157,222,37
TOP;39;1;131,157,222,37;67,98,202,145,902
JUNGLE;131;1;39,157,222,37;67,98,202,145,902
MIDDLE;157;1;39,131,222,37;67,98,202,145,902
BOTTOM;222;1;39,131,157,37;67,98,202,145,902
SUPPORT;37;1;39,131,157,222;67,98,202,145,902
TOP;254;0;56,61,18,80;92,54,4,21,147
JUNGLE;56;0;254,61,18,80;92,54,4,21,147
MIDDLE;61;0;254,56,18,80;92,54,4,21,147
BOTTOM;18;0;254,56,61,80;92,54,4,21,147
SUPPORT;80;0;254,56,61,18;92,54,4,21,147
TOP;92;1;54,4,21,147;254,56,61,18,80
JUNGLE;54;1;92,4,21,147;254,56,61,18,80
MIDDLE;4;1;92,54,21,147;254,56,61,18,80
BOTTOM;21;1;92,54,4,147;254,56,61,18,80
SUPPORT;147;1;92,54,4,21;254,56,61,18,80
TOP;54;0;76,91,235,267;904,56,238,22,16
JUNGLE;76;0;54,91,235,267;904,56,238,22,16
MIDDLE;91;0;54,76,235,267;904,56,238,22,16
BOTTOM;235;0;54,76,91,267;904,56,238,22,16
SUPPORT;267;0;54,76,91,235;904,56,238,22,16
TOP;904;1;56,238,22,16;54,76,91,235,267
JUNGLE;56;1;904,238,22,16;54,76,91,235,267
MIDDLE;238;1;904,56,22,16;54,76,91,235,267
BOTTOM;22;1;904,56,238,16;54,76,91,235,267
SUPPORT;16;1;904,56,238,22;54,76,91,235,267
TOP;157;0;56,38,21,267;79,75,777,99,22
JUNGLE;56;0;157,38,21,267;79,75,777,99,22
MIDDLE;38;0;157,56,21,267;79,75,777,99,22
BOTTOM;21;0;157,56,38,267;79,75,777,99,22
SUPPORT;267;0;157,56,38,21;79,75,777,99,22
TOP;79;1;75,777,99,22;157,56,38,21,267
JUNGLE;75;1;79,777,99,22;157,56,38,21,267
MIDDLE;777;1;79,75,99,22;157,56,38,21,267
BOTTOM;99;1;79,75,777,22;157,56,38,21,267
SUPPORT;22;1;79,75,777,99;157,56,38,21,267
TOP;2;0;238,99,895,16;266,91,112,51,518
JUNGLE;238;0;2,99,895,16;266,91,112,51,518
MIDDLE;99;0;2,238,895,16;266,91,112,51,518
BOTTOM;895;0;2,238,99,16;266,91,112,51,518
SUPPORT;16;0;2,238,99,895;266,91,112,51,518
TOP;266;1;91,112,51,518;2,238,99,895,16
JUNGLE;91;1;266,112,51,518;2,238,99,895,16
MIDDLE;112;1;266,91,51,518;2,238,99,895,16
BOTTOM;51;1;266,91,112,518;2,238,99,895,16
SUPPORT;518;1;266,91,112,51;2,238,99,895,16
TOP;103;1;876,39,804,11;266,234,90,800,350
JUNGLE;876;1;103,39,804,11;266,234,90,800,350
MIDDLE;39;1;103,876,804,11;266,234,90,800,350
BOTTOM;804;1;103,876,39,11;266,234,90,800,350
SUPPORT;11;1;103,876,39,804;266,234,90,800,350
TOP;266;0;234,90,800,350;103,876,39,804,11
JUNGLE;234;0;266,90,800,350;103,876,39,804,11
MIDDLE;90;0;266,234,800,350;103,876,39,804,11
BOTTOM;800;0;266,234,90,350;103,876,39,804,11
SUPPORT;350;0;266,234,90,800;103,876,39,804,11
TOP;54;0;56,61,81,432;799,122,84,21,89
JUNGLE;56;0;54,61,81,432;799,122,84,21,89
MIDDLE;61;0;54,56,81,432;799,122,84,21,89
BOTTOM;81;0;54,56,61,432;799,122,84,21,89
SUPPORT;432;0;54,56,61,81;799,122,84,21,89
TOP;799;1;122,84,21,89;54,56,61,81,432
JUNGLE;122;1;799,84,21,89;54,56,61,81,432
MIDDLE;84;1;799,122,21,89;54,56,61,81,432
BOTTOM;21;1;799,122,84,89;54,56,61,81,432
SUPPORT;89;1;799,122,84,21;54,56,61,81,432
TOP;36;0;887,13,18,902;266,203,163,202,78
JUNGLE;887;0;36,13,18,902;266,203,163,202,78
MIDDLE;13;0;36,887,18,902;266,203,163,202,78
BOTTOM;18;0;36,887,13,902;266,203,163,202,78
SUPPORT;902;0;36,887,13,18;266,203,163,202,78
TOP;266;1;203,163,202,78;36,887,13,18,902
JUNGLE;203;1;266,163,202,78;36,887,13,18,902
MIDDLE;163;1;266,203,202,78;36,887,13,18,902
BOTTOM;202;1;266,203,163,78;36,887,13,18,902
SUPPORT;78;1;266,203,163,202;36,887,13,18,902
TOP;23;0;131,45,21,32;58,107,103,222,37
JUNGLE;131;0;23,45,21,32;58,107,103,222,37
MIDDLE;45;0;23,131,21,32;58,107,103,222,37
BOTTOM;21;0;23,131,45,32;58,107,103,222,37
SUPPORT;32;0;23,131,45,21;58,107,103,222,37
TOP;58;1;107,103,222,37;23,131,45,21,32
JUNGLE;107;1;58,103,222,37;23,131,45,21,32
MIDDLE;103;1;58,107,222,37;23,131,45,21,32
BOTTOM;222;1;58,107,103,37;23,131,45,21,32
SUPPORT;37;1;58,107,103,222;23,131,45,21,32
TOP;86;0;60,39,50,267;14,11,1,804,350
JUNGLE;60;0;86,39,50,267;14,11,1,804,350
MIDDLE;39;0;86,60,50,267;14,11,1,804,350
BOTTOM;50;0;86,60,39,267;14,11,1,804,350
SUPPORT;267;0;86,60,39,50;14,11,1,804,350
TOP;14;1;11,1,804,350;86,60,39,50,267
JUNGLE;11;1;14,1,804,350;86,60,39,50,267
MIDDLE;1;1;14,11,804,350;86,60,39,50,267
BOTTOM;804;1;14,11,1,350;86,60,39,50,267
SUPPORT;350;1;14,11,1,804;86,60,39,50,267
TOP;58;1;120,90,136,89;106,200,238,42,143
JUNGLE;120;1;58,90,136,89;106,200,238,42,143
MIDDLE;90;1;58,120,136,89;106,200,238,42,143
BOTTOM;136;1;58,120,90,89;106,200,238,42,143
SUPPORT;89;1;58,120,90,136;106,200,238,42,143
TOP;106;0;200,238,42,143;58,120,90,136,89
JUNGLE;200;0;106,238,42,143;58,120,90,136,89
MIDDLE;238;0;106,200,42,143;58,120,90,136,89
BOTTOM;42;0;106,200,238,143;58,120,90,136,89
SUPPORT;143;0;106,200,238,42;58,120,90,136,89
TOP;10;1;234,131,67,902;34,91,240,51,16
JUNGLE;234;1;10,131,67,902;34,91,240,51,16
MIDDLE;131;1;10,234,67,902;34,91,240,51,16
BOTTOM;67;1;10,234,131,902;34,91,240,51,16
SUPPORT;902;1;10,234,131,67;34,91,240,51,16
TOP;34;0;91,240,51,16;10,234,131,67,902
JUNGLE;91;0;34,240,51,16;10,234,131,67,902
MIDDLE;240;0;34,91,51,16;10,234,131,67,902
BOTTOM;51;0;34,91,240,16;10,234,131,67,902
SUPPORT;16;0;34,91,240,51;10,234,131,67,902
TOP;114;0;233,112,50,235;23,56,136,222,43
JUNGLE;233;0;114,112,50,235;23,56,136,222,43
MIDDLE;112;0;114,233,50,235;23,56,136,222,43
BOTTOM;50;0;114,233,112,235;23,56,136,222,43
SUPPORT;235;0;114,233,112,50;23,56,136,222,43
TOP;23;1;56,136,222,43;114,233,112,50,235
JUNGLE;56;1;23,136,222,43;114,233,112,50,235
MIDDLE;136;1;23,56,222,43;114,233,112,50,235
BOTTOM;222;1;23,56,136,43;114,233,112,50,235
SUPPORT;43;1;23,56,136,222;114,233,112,50,235
TOP;83;1;238,777,523,267;904,799,517,51,99
JUNGLE;238;1;83,777,523,267;904,799,517,51,99
MIDDLE;777;1;83,238,523,267;904,799,517,51,99
BOTTOM;523;1;83,238,777,267;904,799,517,51,99
SUPPORT;267;1;83,238,777,523;904,799,517,51,99
TOP;904;0;799,517,51,99;83,238,777,523,267
JUNGLE;799;0;904,517,51,99;83,238,777,523,267
MIDDLE;517;0;904,799,51,99;83,238,777,523,267
BOTTOM;51;0;904,799,517,99;83,238,777,523,267
SUPPORT;99;0;904,799,517,51;83,238,777,523,267
TOP;39;1;234,136,51,111;36,200,26,202,555
JUNGLE;234;1;39,136,51,111;36,200,26,202,555
MIDDLE;136;1;39,234,51,111;36,200,26,202,555
BOTTOM;51;1;39,234,136,111;36,200,26,202,555
SUPPORT;111;1;39,234,136,51;36,200,26,202,555
TOP;36;0;200,26,202,555;39,234,136,51,111
JUNGLE;200;0;36,26,202,555;39,234,136,51,111
MIDDLE;26;0;36,200,202,555;39,234,136,51,111
BOTTOM;202;0;36,200,26,555;39,234,136,51,111
SUPPORT;555;0;36,200,26,202;39,234,136,51,111
TOP;223;1;254,901,910,40;67,5,39,45,117
JUNGLE;254;1;223,901,910,40;67,5,39,45,117
MIDDLE;901;1;223,254,910,40;67,5,39,45,117
BOTTOM;910;1;223,254,901,40;67,5,39,45,117
SUPPORT;40;1;223,254,901,910;67,5,39,45,117
TOP;67;0;5,39,45,117;223,254,901,910,40
JUNGLE;5;0;67,39,45,117;223,254,901,910,40
MIDDLE;39;0;67,5,45,117;223,254,901,910,40
BOTTOM;45;0;67,5,39,117;223,254,901,910,40
SUPPORT;117;0;67,5,39,45;223,254,901,910,40
TOP;6;1;76,711,22,40;39,35,84,901,16
JUNGLE;76;1;6,711,22,40;39,35,84,901,16
MIDDLE;711;1;6,76,22,40;39,35,84,901,16
BOTTOM;22;1;6,76,711,40;39,35,84,901,16
SUPPORT;40;1;6,76,711,22;39,35,84,901,16
TOP;39;0;35,84,901,16;6,76,711,22,40
JUNGLE;35;0;39,84,901,16;6,76,711,22,40
MIDDLE;84;0;39,35,901,16;6,76,711,22,40
BOTTOM;901;0;39,35,84,16;6,76,711,22,40
SUPPORT;16;0;39,35,84,901;6,76,711,22,40
TOP;86;1;876,238,119,26;904,421,950,910,432
JUNGLE;876;1;86,238,119,26;904,421,950,910,432
MIDDLE;238;1;86,876,119,26;904,421,950,910,432
BOTTOM;119;1;86,876,238,26;904,421,950,910,432
SUPPORT;26;1;86,876,238,119;904,421,950,910,432
TOP;904;0;421,950,910,432;86,876,238,119,26
JUNGLE;421;0;904,950,910,432;86,876,238,119,26
MIDDLE;950;0;904,421,910,432;86,876,238,119,26
BOTTOM;910;0;904,421,950,432;86,876,238,119,26
SUPPORT;432;0;904,421,950,910;86,876,238,119,26
TOP;6;0;143,142,119,555;85,120,54,901,111
JUNGLE;143;0;6,142,119,555;85,120,54,901,111
MIDDLE;142;0;6,143,119,555;85,120,54,901,111
BOTTOM;119;0;6,143,142,555;85,120,54,901,111
SUPPORT;555;0;6,143,142,119;85,120,54,901,111
TOP;85;1;120,54,901,111;6,143,142,119,555
JUNGLE;120;1;85,54,901,111;6,143,142,119,555
MIDDLE;54;1;85,120,901,111;6,143,142,119,555
BOTTOM;901;1;85,120,54,111;6,143,142,119,555
SUPPORT;111;1;85,120,54,901;6,143,142,119,555
TOP;223;0;35,68,901,133;10,59,893,222,80
JUNGLE;35;0;223,68,901,133;10,59,893,222,80
MIDDLE;68;0;223,35,901,133;10,59,893,222,80
BOTTOM;901;0;223,35,68,133;10,59,893,222,80
SUPPORT;133;0;223,35,68,901;10,59,893,222,80
TOP;10;1;59,893,222,80;223,35,68,901,133
JUNGLE;59;1;10,893,222,80;223,35,68,901,133
MIDDLE;893;1;10,59,222,80;223,35,68,901,133
BOTTOM;222;1;10,59,893,80;223,35,68,901,133
SUPPORT;80;1;10,59,893,222;223,35,68,901,133
TOP;19;0;887,55,360,44;8,266,777,143,40
JUNGLE;887;0;19,55,360,44;8,266,777,143,40
MIDDLE;55;0;19,887,360,44;8,266,777,143,40
BOTTOM;360;0;19,887,55,44;8,266,777,143,40
SUPPORT;44;0;19,887,55,360;8,266,777,143,40
TOP;8;1;266,777,143,40;19,887,55,360,44
JUNGLE;266;1;8,777,143,40;19,887,55,360,44
MIDDLE;777;1;8,266,143,40;19,887,55,360,44
BOTTOM;143;1;8,266,777,40;19,887,55,360,44
SUPPORT;40;1;8,266,777,143;19,887,55,360,44
TOP;897;0;20,800,51,111;36,887,13,22,201
JUNGLE;20;0;897,800,51,111;36,887,13,22,201
MIDDLE;800;0;897,20,51,111;36,887,13,22,201
BOTTOM;51;0;897,20,800,111;36,887,13,22,201
SUPPORT;111;0;897,20,800,51;36,887,13,22,201
TOP;36;1;887,13,22,201;897,20,800,51,111
JUNGLE;887;1;36,13,22,201;897,20,800,51,111
MIDDLE;13;1;36,887,22,201;897,20,800,51,111
BOTTOM;22;1;36,887,13,201;897,20,800,51,111
SUPPORT;201;1;36,887,13,22;897,20,800,51,111
TOP;516;1;104,777,55,117;24,141,112,901,16
JUNGLE;104;1;516,777,55,117;24,141,112,901,16
MIDDLE;777;1;516,104,55,117;24,141,112,901,16
BOTTOM;55;1;516,104,777,117;24,141,112,901,16
SUPPORT;117;1;516,104,777,55;24,141,112,901,16
TOP;24;0;141,112,901,16;516,104,777,55,117
JUNGLE;141;0;24,112,901,16;516,104,777,55,117
MIDDLE;112;0;24,141,901,16;516,104,777,55,117
BOTTOM;901;0;24,141,112,16;516,104,777,55,117
SUPPORT;16;0;24,141,112,901;516,104,777,55,117
TOP;39;1;517,950,202,63;58,20,34,21,25
JUNGLE;517;1;39,950,202,63;58,20,34,21,25
MIDDLE;950;1;39,517,202,63;58,20,34,21,25
BOTTOM;202;1;39,517,950,63;58,20,34,21,25
SUPPORT;63;1;39,517,950,202;58,20,34,21,25
TOP;58;0;20,34,21,25;39,517,950,202,63
JUNGLE;20;0;58,34,21,25;39,517,950,202,63
MIDDLE;34;0;58,20,21,25;39,517,950,202,63
BOTTOM;21;0;58,20,34,25;39,517,950,202,63
SUPPORT;25;0;58,20,34,21;39,517,950,202,63
TOP;799;1;104,61,51,101;8,36,105,29,147
JUNGLE;104;1;799,61,51,101;8,36,105,29,147
MIDDLE;61;1;799,104,51,101;8,36,105,29,147
BOTTOM;51;1;799,104,61,101;8,36,105,29,147
SUPPORT;101;1;799,104,61,51;8,36,105,29,147
TOP;8;0;36,105,29,147;799,104,61,51,101
JUNGLE;36;0;8,105,29,147;799,104,61,51,101
MIDDLE;105;0;8,36,29,147;799,104,61,51,101
BOTTOM;29;0;8,36,105,147;799,104,61,51,101
SUPPORT;147;0;8,36,105,29;799,104,61,51,101
TOP;887;0;36,38,901,235;24,17,7,45,412
JUNGLE;36;0;887,38,901,235;24,17,7,45,412
MIDDLE;38;0;887,36,901,235;24,17,7,45,412
BOTTOM;901;0;887,36,38,235;24,17,7,45,412
SUPPORT;235;0;887,36,38,901;24,17,7,45,412
TOP;24;1;17,7,45,412;887,36,38,901,235
JUNGLE;17;1;24,7,45,412;887,36,38,901,235
MIDDLE;7;1;24,17,45,412;887,36,38,901,235
BOTTOM;45;1;24,17,7,412;887,36,38,901,235
SUPPORT;412;1;24,17,7,45;887,36,38,901,235
TOP;420;1;32,38,81,40;24,102,127,222,16
JUNGLE;32;1;420,38,81,40;24,102,127,222,16
MIDDLE;38;1;420,32,81,40;24,102,127,222,16
BOTTOM;81;1;420,32,38,40;24,102,127,222,16
SUPPORT;40;1;420,32,38,81;24,102,127,222,16
TOP;24;0;102,127,222,16;420,32,38,81,40
JUNGLE;102;0;24,127,222,16;420,32,38,81,40
MIDDLE;127;0;24,102,222,16;420,32,38,81,40
BOTTOM;222;0;24,102,127,16;420,32,38,81,40
SUPPORT;16;0;24,102,127,222;420,32,38,81,40
TOP;799;1;64,1,21,111;80,48,34,901,432
JUNGLE;64;1;799,1,21,111;80,48,34,901,432
MIDDLE;1;1;799,64,21,111;80,48,34,901,432
BOTTOM;21;1;799,64,1,111;80,48,34,901,432
SUPPORT;111;1;799,64,1,21;80,48,34,901,432
TOP;80;0;48,34,901,432;799,64,1,21,111
JUNGLE;48;0;80,34,901,432;799,64,1,21,111
MIDDLE;34;0;80,48,901,432;799,64,1,21,111
BOTTOM;901;0;80,48,34,432;799,64,1,21,111
SUPPORT;432;0;80,48,34,901;799,64,1,21,111
TOP;122;0;131,157,18,267;33,143,10,145,111
JUNGLE;131;0;122,157,18,267;33,143,10,145,111
MIDDLE;157;0;122,131,18,267;33,143,10,145,111
BOTTOM;18;0;122,131,157,267;33,143,10,145,111
SUPPORT;267;0;122,131,157,18;33,143,10,145,111
TOP;33;1;143,10,145,111;122,131,157,18,267
JUNGLE;143;1;33,10,145,111;122,131,157,18,267
MIDDLE;10;1;33,143,145,111;122,131,157,18,267
BOTTOM;145;1;33,143,10,111;122,131,157,18,267
SUPPORT;111;1;33,143,10,145;122,131,157,18,267
TOP;164;1;107,134,63,12;54,77,55,51,143
JUNGLE;107;1;164,134,63,12;54,77,55,51,143
MIDDLE;134;1;164,107,63,12;54,77,55,51,143
BOTTOM;63;1;164,107,134,12;54,77,55,51,143
SUPPORT;12;1;164,107,134,63;54,77,55,51,143
TOP;54;0;77,55,51,143;164,107,134,63,12
JUNGLE;77;0;54,55,51,143;164,107,134,63,12
MIDDLE;55;0;54,77,51,143;164,107,134,63,12
BOTTOM;51;0;54,77,55,143;164,107,134,63,12
SUPPORT;143;0;54,77,55,51;164,107,134,63,12
TOP;85;1;102,238,21,80;122,60,54,145,43
JUNGLE;102;1;85,238,21,80;122,60,54,145,43
MIDDLE;238;1;85,102,21,80;122,60,54,145,43
BOTTOM;21;1;85,102,238,80;122,60,54,145,43
SUPPORT;80;1;85,102,238,21;122,60,54,145,43
TOP;122;0;60,54,145,43;85,102,238,21,80
JUNGLE;60;0;122,54,145,43;85,102,238,21,80
MIDDLE;54;0;122,60,145,43;85,102,238,21,80
BOTTOM;145;0;122,60,54,43;85,102,238,21,80
SUPPORT;43;0;122,60,54,145;85,102,238,21,80
TOP;114;1;904,39,236,902;98,63,157,498,267
JUNGLE;904;1;114,39,236,902;98,63,157,498,267
MIDDLE;39;1;114,904,236,902;98,63,157,498,267
BOTTOM;236;1;114,904,39,902;98,63,157,498,267
SUPPORT;902;1;114,904,39,236;98,63,157,498,267
TOP;98;0;63,157,498,267;114,904,39,236,902
JUNGLE;63;0;98,157,498,267;114,904,39,236,902
MIDDLE;157;0;98,63,498,267;114,904,39,236,902
BOTTOM;498;0;98,63,157,267;114,904,39,236,902
SUPPORT;267;0;98,63,157,498;114,904,39,236,902
TOP;122;1;106,55,110,267;904,35,131,29,555
JUNGLE;106;1;122,55,110,267;904,35,131,29,555
MIDDLE;55;1;122,106,110,267;904,35,131,29,555
BOTTOM;110;1;122,106,55,267;904,35,131,29,555
SUPPORT;267;1;122,106,55,110;904,35,131,29,555
TOP;904;0;35,131,29,555;122,106,55,110,267
JUNGLE;35;0;904,131,29,555;122,106,55,110,267
MIDDLE;131;0;904,35,29,555;122,106,55,110,267
BOTTOM;29;0;904,35,131,555;122,106,55,110,267
SUPPORT;555;0;904,35,131,29;122,106,55,110,267
